Идентификатор,Логин,Имя,Оболочка,Домашняя директория
4704,thomas_morales_4704,Thomas Morales,/bin/bash,/home/root
9227,isaiah_miller_9227,Isaiah Miller,/bin/ion,/home/root
5513,dakota_williams_5513,Dakota Williams,/bin/ksh,/home/dakota_williams_5513
6913,joseph_braun_6913,Joseph Braun,/bin/elvish,/home/joseph_braun_6913
8425,caleb_diaz_8425,Caleb Diaz,/bin/dash,/home/root
2052,steven_brewer_2052,Steven Brewer,/bin/oil,/home/steven_brewer_2052
8066,edward_smith_8066,Edward Smith,/bin/sh,/home/edward_smith_8066
7690,robert_lawrence_7690,Robert Lawrence,/bin/xonsh,/home/robert_lawrence_7690
9300,eric_wright_9300,Eric Wright,/bin/dash,/home/eric_wright_9300
2634,brandon_jones_2634,Brandon Jones,/bin/elvish,/home/brandon_jones_2634
7718,nathan_little_7718,Nathan Little,/bin/tcsh,/home/nathan_little_7718
2464,john_herrera_2464,John Herrera,/bin/oil,/home/john_herrera_2464
3568,michael_lester_3568,Michael Lester,/bin/oh,/home/michael_lester_3568
8971,maria_perez_8971,Maria Perez,/bin/eshell,/home/maria_perez_8971
3720,danielle_lowery_dvm_3720,Danielle Lowery DVM,/bin/eshell,/home/danielle_lowery_dvm_3720
492,joseph_davis_492,Joseph Davis,/bin/zsh,/home/joseph_davis_492
7557,jennifer_morton_7557,Jennifer Morton,/bin/sh,/home/jennifer_morton_7557
7581,brian_carter_7581,Brian Carter,/bin/xonsh,/home/brian_carter_7581
9946,christopher_cooper_9946,Christopher Cooper,/bin/rc,/home/christopher_cooper_9946
2487,austin_mitchell_2487,Austin Mitchell,/bin/oil,/home/root
2770,ashley_graves_2770,Ashley Graves,/bin/csh,/home/root
7292,joseph_huff_7292,Joseph Huff,/bin/rc,/home/joseph_huff_7292
6281,keith_rivera_6281,Keith Rivera,/bin/sh,/home/keith_rivera_6281
4365,michael_nielsen_4365,Michael Nielsen,/bin/tcsh,/home/root
1869,kim_koch_1869,Kim Koch,/bin/ion,/home/kim_koch_1869
3175,brittany_adams_3175,Brittany Adams,/bin/scsh,/home/brittany_adams_3175
8218,david_lee_8218,David Lee,/bin/sh,/home/david_lee_8218
7147,matthew_summers_7147,Matthew Summers,/bin/ksh,/home/matthew_summers_7147
9612,anthony_richardson_9612,Anthony Richardson,/bin/dash,/home/anthony_richardson_9612
2020,austin_garza_2020,Austin Garza,/bin/ksh,/home/root
8767,diane_taylor_8767,Diane Taylor,/bin/csh,/home/diane_taylor_8767
7936,michael_delgado_7936,Michael Delgado,/bin/fish,/home/michael_delgado_7936
9771,adam_perez_9771,Adam Perez,/bin/ion,/home/adam_perez_9771
87,todd_erickson_87,Todd Erickson,/bin/scsh,/home/root
769,anne_ali_769,Anne Ali,/bin/scsh,/home/anne_ali_769
1809,pamela_hines_1809,Pamela Hines,/bin/fish,/home/pamela_hines_1809
7733,natalie_brooks_7733,Natalie Brooks,/bin/oil,/home/natalie_brooks_7733
6429,joanna_scott_6429,Joanna Scott,/bin/dash,/home/joanna_scott_6429
4292,jason_mccarty_4292,Jason Mccarty,/bin/fish,/home/jason_mccarty_4292
8811,jordan_pierce_8811,Jordan Pierce,/bin/elvish,/home/jordan_pierce_8811
6837,joseph_thomas_6837,Joseph Thomas,/bin/oh,/home/joseph_thomas_6837
7313,daniel_rivera_7313,Daniel Rivera,/bin/oil,/home/daniel_rivera_7313
2654,christopher_lee_2654,Christopher Lee,/bin/elvish,/home/christopher_lee_2654
7262,christina_mitchell_7262,Christina Mitchell,/bin/oil,/home/christina_mitchell_7262
6028,mr._patrick_fowler_6028,Mr. Patrick Fowler,/bin/ion,/home/mr._patrick_fowler_6028
6381,sean_hobbs_6381,Sean Hobbs,/bin/oil,/home/sean_hobbs_6381
9791,sarah_lee_9791,Sarah Lee,/bin/scsh,/home/root
4911,stacey_gallagher_4911,Stacey Gallagher,/bin/xonsh,/home/stacey_gallagher_4911
2784,brian_hatfield_2784,Brian Hatfield,/bin/scsh,/home/brian_hatfield_2784
6389,james_owens_6389,James Owens,/bin/eshell,/home/james_owens_6389
2279,zachary_hoffman_2279,Zachary Hoffman,/bin/oh,/home/zachary_hoffman_2279
1279,denise_brown_1279,Denise Brown,/bin/elvish,/home/denise_brown_1279
414,yolanda_ramsey_414,Yolanda Ramsey,/bin/elvish,/home/yolanda_ramsey_414
6071,vanessa_robbins_6071,Vanessa Robbins,/bin/csh,/home/root
3841,christopher_davis_3841,Christopher Davis,/bin/fish,/home/christopher_davis_3841
9558,diane_luna_9558,Diane Luna,/bin/tcsh,/home/diane_luna_9558
1477,jennifer_carney_1477,Jennifer Carney,/bin/scsh,/home/jennifer_carney_1477
1887,gene_boyd_1887,Gene Boyd,/bin/tcsh,/home/root
8921,kenneth_mccarthy_8921,Kenneth Mccarthy,/bin/ion,/home/kenneth_mccarthy_8921
5764,james_hernandez_5764,James Hernandez,/bin/oh,/home/james_hernandez_5764
4013,brooke_carter_4013,Brooke Carter,/bin/xonsh,/home/brooke_carter_4013
1408,sarah_phillips_1408,Sarah Phillips,/bin/fish,/home/sarah_phillips_1408
8852,samuel_taylor_8852,Samuel Taylor,/bin/ion,/home/samuel_taylor_8852
7874,wanda_mcconnell_7874,Wanda Mcconnell,/bin/tcsh,/home/wanda_mcconnell_7874
8351,mary_hubbard_8351,Mary Hubbard,/bin/tcsh,/home/mary_hubbard_8351
5279,alexander_hernandez_5279,Alexander Hernandez,/bin/csh,/home/alexander_hernandez_5279
2558,dawn_brown_2558,Dawn Brown,/bin/ksh,/home/dawn_brown_2558
6554,michael_anderson_6554,Michael Anderson,/bin/sh,/home/michael_anderson_6554
1450,carlos_williams_1450,Carlos Williams,/bin/dash,/home/carlos_williams_1450
6377,latasha_dixon_6377,Latasha Dixon,/bin/ion,/home/latasha_dixon_6377
3648,melissa_oconnor_3648,Melissa Oconnor,/bin/csh,/home/melissa_oconnor_3648
9838,kyle_webb_9838,Kyle Webb,/bin/ksh,/home/kyle_webb_9838
4865,jillian_fry_4865,Jillian Fry,/bin/scsh,/home/jillian_fry_4865
8181,tammy_larson_8181,Tammy Larson,/bin/sh,/home/root
6254,lisa_elliott_6254,Lisa Elliott,/bin/zsh,/home/lisa_elliott_6254
7473,jeffrey_harris_7473,Jeffrey Harris,/bin/rc,/home/root
829,jessica_holden_829,Jessica Holden,/bin/ksh,/home/jessica_holden_829
6899,jerome_rangel_6899,Jerome Rangel,/bin/dash,/home/jerome_rangel_6899
9029,olivia_mejia_9029,Olivia Mejia,/bin/rc,/home/olivia_mejia_9029
9854,kelly_mitchell_9854,Kelly Mitchell,/bin/xonsh,/home/kelly_mitchell_9854
1032,jacqueline_ramirez_1032,Jacqueline Ramirez,/bin/elvish,/home/root
2774,brian_chan_2774,Brian Chan,/bin/bash,/home/brian_chan_2774
5867,rose_wade_5867,Rose Wade,/bin/sh,/home/rose_wade_5867
6388,timothy_hernandez_6388,Timothy Hernandez,/bin/fish,/home/root
8343,brandi_serrano_8343,Brandi Serrano,/bin/eshell,/home/root
6835,michelle_mitchell_6835,Michelle Mitchell,/bin/dash,/home/michelle_mitchell_6835
365,amanda_anderson_phd_365,Amanda Anderson PhD,/bin/elvish,/home/amanda_anderson_phd_365
5679,jeffrey_walters_5679,Jeffrey Walters,/bin/xonsh,/home/jeffrey_walters_5679
437,shelly_gallegos_437,Shelly Gallegos,/bin/ksh,/home/shelly_gallegos_437
4271,daniel_miller_4271,Daniel Miller,/bin/rc,/home/daniel_miller_4271
7300,kenneth_norman_7300,Kenneth Norman,/bin/ksh,/home/root
6843,shaun_davis_6843,Shaun Davis,/bin/ksh,/home/root
4445,kyle_curry_4445,Kyle Curry,/bin/dash,/home/kyle_curry_4445
9362,nicholas_pearson_9362,Nicholas Pearson,/bin/eshell,/home/nicholas_pearson_9362
6053,mr._joshua_howe_6053,Mr. Joshua Howe,/bin/oil,/home/mr._joshua_howe_6053
9549,patricia_robinson_9549,Patricia Robinson,/bin/ion,/home/patricia_robinson_9549
4658,kevin_perez_4658,Kevin Perez,/bin/fish,/home/kevin_perez_4658
9239,brittney_ryan_9239,Brittney Ryan,/bin/dash,/home/brittney_ryan_9239
7155,randy_sanchez_7155,Randy Sanchez,/bin/oh,/home/randy_sanchez_7155
3726,patricia_carey_3726,Patricia Carey,/bin/scsh,/home/patricia_carey_3726
452,erica_graves_452,Erica Graves,/bin/eshell,/home/root
1019,jonathan_sanchez_1019,Jonathan Sanchez,/bin/ksh,/home/jonathan_sanchez_1019
1591,russell_wang_jr._1591,Russell Wang Jr.,/bin/ion,/home/root
6257,melissa_benjamin_6257,Melissa Benjamin,/bin/bash,/home/melissa_benjamin_6257
5131,morgan_rodgers_5131,Morgan Rodgers,/bin/oil,/home/morgan_rodgers_5131
8059,timothy_smith_8059,Timothy Smith,/bin/tcsh,/home/timothy_smith_8059
7953,joseph_wiggins_7953,Joseph Wiggins,/bin/ksh,/home/joseph_wiggins_7953
8637,casey_taylor_8637,Casey Taylor,/bin/oh,/home/casey_taylor_8637
5075,rebecca_carpenter_5075,Rebecca Carpenter,/bin/rc,/home/rebecca_carpenter_5075
6041,fernando_pittman_6041,Fernando Pittman,/bin/bash,/home/fernando_pittman_6041
3734,gregory_gill_3734,Gregory Gill,/bin/zsh,/home/gregory_gill_3734
3809,daniel_harper_3809,Daniel Harper,/bin/fish,/home/root
9043,kelly_baker_9043,Kelly Baker,/bin/sh,/home/root
4959,caleb_gutierrez_4959,Caleb Gutierrez,/bin/ion,/home/caleb_gutierrez_4959
7047,james_willis_7047,James Willis,/bin/ksh,/home/james_willis_7047
7295,patrick_garcia_7295,Patrick Garcia,/bin/zsh,/home/root
4831,johnny_galvan_4831,Johnny Galvan,/bin/fish,/home/root
1746,robin_escobar_1746,Robin Escobar,/bin/ksh,/home/root
481,tommy_ortiz_481,Tommy Ortiz,/bin/bash,/home/tommy_ortiz_481
4182,brandon_ramos_4182,Brandon Ramos,/bin/eshell,/home/brandon_ramos_4182
2985,mitchell_price_2985,Mitchell Price,/bin/dash,/home/mitchell_price_2985
4157,rebecca_williamson_4157,Rebecca Williamson,/bin/sh,/home/rebecca_williamson_4157
5805,kristi_fleming_5805,Kristi Fleming,/bin/tcsh,/home/root
4963,jennifer_stevens_4963,Jennifer Stevens,/bin/eshell,/home/jennifer_stevens_4963
2862,ann_wright_2862,Ann Wright,/bin/zsh,/home/root
7253,angela_burke_7253,Angela Burke,/bin/ion,/home/angela_burke_7253
3389,robin_johnson_3389,Robin Johnson,/bin/elvish,/home/robin_johnson_3389
2997,daniel_torres_2997,Daniel Torres,/bin/dash,/home/daniel_torres_2997
2765,morgan_gibson_2765,Morgan Gibson,/bin/elvish,/home/morgan_gibson_2765
881,michael_diaz_881,Michael Diaz,/bin/xonsh,/home/michael_diaz_881
8759,colleen_herman_8759,Colleen Herman,/bin/dash,/home/colleen_herman_8759
7930,peter_garrett_7930,Peter Garrett,/bin/rc,/home/root
6158,earl_jackson_6158,Earl Jackson,/bin/bash,/home/earl_jackson_6158
4764,jennifer_perry_4764,Jennifer Perry,/bin/csh,/home/jennifer_perry_4764
3629,william_reed_3629,William Reed,/bin/tcsh,/home/william_reed_3629
2270,derek_thompson_2270,Derek Thompson,/bin/csh,/home/derek_thompson_2270
8939,melissa_lopez_8939,Melissa Lopez,/bin/scsh,/home/melissa_lopez_8939
4910,chad_winters_4910,Chad Winters,/bin/xonsh,/home/chad_winters_4910
373,samantha_barry_373,Samantha Barry,/bin/elvish,/home/samantha_barry_373
2869,linda_long_2869,Linda Long,/bin/fish,/home/root
2178,robert_obrien_2178,Robert Obrien,/bin/zsh,/home/robert_obrien_2178
8054,christopher_mays_8054,Christopher Mays,/bin/ksh,/home/christopher_mays_8054
6213,misty_galvan_6213,Misty Galvan,/bin/xonsh,/home/misty_galvan_6213
4176,paul_willis_4176,Paul Willis,/bin/rc,/home/paul_willis_4176
7865,james_larsen_7865,James Larsen,/bin/bash,/home/james_larsen_7865
9556,jennifer_hardin_9556,Jennifer Hardin,/bin/bash,/home/jennifer_hardin_9556
1641,tamara_duarte_1641,Tamara Duarte,/bin/eshell,/home/tamara_duarte_1641
8039,louis_gutierrez_8039,Louis Gutierrez,/bin/oh,/home/louis_gutierrez_8039
6116,teresa_madden_6116,Teresa Madden,/bin/dash,/home/teresa_madden_6116
6104,samantha_johns_dds_6104,Samantha Johns DDS,/bin/ion,/home/root
7713,grace_williamson_7713,Grace Williamson,/bin/xonsh,/home/root
8948,norma_burns_8948,Norma Burns,/bin/elvish,/home/norma_burns_8948
1096,david_guzman_1096,David Guzman,/bin/sh,/home/david_guzman_1096
8447,jennifer_wright_8447,Jennifer Wright,/bin/eshell,/home/jennifer_wright_8447
2314,sarah_holland_2314,Sarah Holland,/bin/elvish,/home/sarah_holland_2314
5748,adam_miller_5748,Adam Miller,/bin/eshell,/home/root
3866,elizabeth_higgins_3866,Elizabeth Higgins,/bin/rc,/home/elizabeth_higgins_3866
7351,david_wilson_7351,David Wilson,/bin/bash,/home/david_wilson_7351
116,rachel_brown_116,Rachel Brown,/bin/elvish,/home/rachel_brown_116
2462,victor_bryant_2462,Victor Bryant,/bin/eshell,/home/victor_bryant_2462
3310,michael_dixon_3310,Michael Dixon,/bin/oh,/home/michael_dixon_3310
9397,craig_guerrero_ii_9397,Craig Guerrero II,/bin/fish,/home/root
4853,albert_evans_4853,Albert Evans,/bin/bash,/home/albert_evans_4853
8272,julie_savage_8272,Julie Savage,/bin/fish,/home/julie_savage_8272
8420,james_smith_8420,James Smith,/bin/fish,/home/james_smith_8420
5004,john_barrett_5004,John Barrett,/bin/dash,/home/john_barrett_5004
8743,jake_ellis_8743,Jake Ellis,/bin/csh,/home/jake_ellis_8743
4653,tina_adkins_4653,Tina Adkins,/bin/bash,/home/tina_adkins_4653
9066,paul_nelson_9066,Paul Nelson,/bin/ion,/home/paul_nelson_9066
9049,patrick_huynh_9049,Patrick Huynh,/bin/fish,/home/root
3245,kenneth_nelson_3245,Kenneth Nelson,/bin/csh,/home/kenneth_nelson_3245
4584,teresa_bright_4584,Teresa Bright,/bin/oil,/home/teresa_bright_4584
2142,carlos_simmons_2142,Carlos Simmons,/bin/eshell,/home/carlos_simmons_2142
517,max_williams_517,Max Williams,/bin/sh,/home/max_williams_517
9627,andrew_jenkins_9627,Andrew Jenkins,/bin/ksh,/home/andrew_jenkins_9627
8313,kevin_villarreal_8313,Kevin Villarreal,/bin/tcsh,/home/kevin_villarreal_8313
2677,javier_bennett_2677,Javier Bennett,/bin/sh,/home/javier_bennett_2677
8811,patrick_clark_8811,Patrick Clark,/bin/ksh,/home/patrick_clark_8811
4830,adam_white_dds_4830,Adam White DDS,/bin/elvish,/home/adam_white_dds_4830
1697,mariah_flores_1697,Mariah Flores,/bin/dash,/home/mariah_flores_1697
1461,nicole_arnold_1461,Nicole Arnold,/bin/oh,/home/nicole_arnold_1461
7134,kimberly_bates_7134,Kimberly Bates,/bin/fish,/home/kimberly_bates_7134
7237,brian_williams_7237,Brian Williams,/bin/tcsh,/home/root
4270,jessica_moreno_4270,Jessica Moreno,/bin/eshell,/home/root
9004,amanda_avery_9004,Amanda Avery,/bin/sh,/home/amanda_avery_9004
3339,jacqueline_jones_phd_3339,Jacqueline Jones PhD,/bin/sh,/home/root
9172,taylor_beck_9172,Taylor Beck,/bin/tcsh,/home/root
5448,robin_rivera_5448,Robin Rivera,/bin/scsh,/home/root
2756,tracy_stone_2756,Tracy Stone,/bin/csh,/home/tracy_stone_2756
8128,tiffany_williams_8128,Tiffany Williams,/bin/bash,/home/tiffany_williams_8128
8230,erica_hayden_8230,Erica Hayden,/bin/bash,/home/erica_hayden_8230
8403,paul_davenport_8403,Paul Davenport,/bin/oil,/home/paul_davenport_8403
5128,joseph_james_5128,Joseph James,/bin/eshell,/home/joseph_james_5128
4113,taylor_woods_4113,Taylor Woods,/bin/scsh,/home/taylor_woods_4113
4721,joseph_orozco_4721,Joseph Orozco,/bin/scsh,/home/joseph_orozco_4721
1554,patricia_schneider_1554,Patricia Schneider,/bin/rc,/home/patricia_schneider_1554
5706,lori_barnett_5706,Lori Barnett,/bin/scsh,/home/lori_barnett_5706
4925,ernest_coleman_4925,Ernest Coleman,/bin/sh,/home/ernest_coleman_4925
2921,christopher_walker_2921,Christopher Walker,/bin/oh,/home/christopher_walker_2921
9312,danielle_zhang_9312,Danielle Zhang,/bin/tcsh,/home/danielle_zhang_9312
3198,martin_jones_3198,Martin Jones,/bin/fish,/home/martin_jones_3198
6723,kelly_conley_6723,Kelly Conley,/bin/eshell,/home/kelly_conley_6723
8593,michael_brown_8593,Michael Brown,/bin/fish,/home/michael_brown_8593
1816,leslie_meza_1816,Leslie Meza,/bin/scsh,/home/leslie_meza_1816
6291,anthony_castro_6291,Anthony Castro,/bin/oil,/home/root
7915,james_robinson_7915,James Robinson,/bin/tcsh,/home/james_robinson_7915
4530,mr._james_pittman_md_4530,Mr. James Pittman MD,/bin/eshell,/home/mr._james_pittman_md_4530
4378,james_hunter_4378,James Hunter,/bin/bash,/home/james_hunter_4378
6116,kyle_james_6116,Kyle James,/bin/oil,/home/kyle_james_6116
6494,amanda_yates_6494,Amanda Yates,/bin/fish,/home/amanda_yates_6494
6982,thomas_smith_6982,Thomas Smith,/bin/oil,/home/thomas_smith_6982
6178,peter_wang_6178,Peter Wang,/bin/tcsh,/home/peter_wang_6178
4220,terry_long_4220,Terry Long,/bin/ion,/home/terry_long_4220
2129,lindsay_nunez_2129,Lindsay Nunez,/bin/xonsh,/home/lindsay_nunez_2129
5075,brenda_garner_dds_5075,Brenda Garner DDS,/bin/ksh,/home/brenda_garner_dds_5075
952,kevin_henderson_952,Kevin Henderson,/bin/elvish,/home/root
7651,susan_houston_7651,Susan Houston,/bin/ion,/home/susan_houston_7651
1751,casey_hebert_1751,Casey Hebert,/bin/elvish,/home/casey_hebert_1751
9090,tina_martin_9090,Tina Martin,/bin/csh,/home/tina_martin_9090
